titulo;tipo_paper;doi
;Journalarticle;10.1016/j.iatssr.2012.07.001
;Journalarticle;10.1093/cdj/bsr025
;Conferencepaper;
;Journalarticle;
;Journalarticle;10.1016/j.envdev.2012.03.010
;Journalarticle;10.1108/09653561211220034
;Journalarticle;10.1111/j.1468-0297.2011.02475.x
;Book;10.1016/j.emospa.2011.08.002
;Book;
;Conferencepaper;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1007/s13753-012-0007-1
;Journalarticle;10.1016/j.ijdrr.2012.08.001
;Journalarticle;10.1587/transcom.E95.B.1911
;Journalarticle;10.20965/jdr.2012.p0203
;Journalarticle;10.20965/jdr.2012.p0065
;Booksection;
;Conferencepaper;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1109/ISCRAM.2011.6184141
;Journalarticle;10.1080/09593969.2011.619665
;Journalarticle;
;Booksection;10.1163/156853111X597305
;Journalarticle;10.1177/0020872811400717
;Booksection;
;Journalarticle;10.1193/1.3633096
;Journalarticle;10.1061/41185(417)78
;Journalarticle;10.1080/17477891.2011.598497
;Journalarticle;
;Journalarticle;10.1179/003962611X13117748891750
;Journalarticle;
;Journalarticle;10.1080/00220388.2010.509786
;Book;10.1163/187651411X566720
;Booksection;
;Conferencepaper;10.1016/j.apgeog.2011.01.001
;Journalarticle;10.1061/41171(401)177
;Booksection;10.1111/j.1467-954X.2011.02008.x
;Journalarticle;10.1093/cdj/bsp058
;Book;10.1108/17595901111108380
;Journalarticle;10.1260/1478-0771.9.1.17
;Journalarticle;10.1061/(ASCE)CO.1943-7862.0000277
;Journalarticle;
;Journalarticle;10.1177/097492841106700402
;Journalarticle;10.1080/01446193.2010.521761
;Journalarticle;10.1016/j.habitatint.2010.08.003
;Journalarticle;10.1108/03074801111100445
;Journalarticle;
;Journalarticle;
;Conferencepaper;
;Booksection;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.3846/ijspm.2010.26
;Conferencepaper;10.3846/ijspm.2010.24
;Journalarticle;10.3844/ajassp.2010.1412.1419
;Journalarticle;10.1109/CAIDCD.2010.5681850
;Journalarticle;
;Conferencepaper;10.1193/1.3474646
;Journalarticle;
;Journalarticle;10.1108/17595901011080878
;Journalarticle;
;Journalarticle;10.1001/dmp.2010.1001
;Booksection;10.1037/a0020079
;Journalarticle;10.1080/09614524.2010.491528
;Journalarticle;10.1061/(ASCE)CO.1943-7862.0000185
;Journalarticle;10.1080/14631371003740688
;Journalarticle;10.1142/S1793431110000777
;Journalarticle;10.1080/09613211003693945
;Journalarticle;
;Journalarticle;10.1007/s11111-009-0099-8
;Journalarticle;10.3130/aijt.16.405
;Journalarticle;10.1007/s11269-009-9568-1
;Journalarticle;
;Journalarticle;10.30541/v49i3pp.167-192
;Journalarticle;10.1002/ev.330
;Journalarticle;
;Booksection;10.1016/j.ccs.2010.07.001
;Conferencepaper;10.1108/09653561011070358
;Journalarticle;10.1007/s11069-009-9468-y
;Conferencepaper;10.1016/j.proeng.2018.01.068
;Journalarticle;10.24135/pjr.v24i1.402
;Journalarticle;10.1016/j.ijdrr.2015.01.012
;Booksection;10.1080/01944363.2014.980440
;Conferencepaper;10.1016/j.ijdrr.2021.102149
;Journalarticle;10.1016/j.ijdrr.2021.102340
;Journalarticle;10.1016/j.ijdrr.2021.102607
;Journalarticle;10.1353/sgo.2018.0034
;Conferencepaper;10.1108/IJDRBE-03-2020-0016
;Journalarticle;
;Journalarticle;10.1016/j.ijdrr.2014.12.002
;Conferencepaper;
;Journalarticle;10.1111/disa.12083
;Journalarticle;10.1002/rhc3.12082
;Journalarticle;10.1007/s11069-016-2489-4
;Conferencepaper;10.1177/1538513214549435
;Journalarticle;10.1080/17477891.2019.1675578
;Journalarticle;10.11157/anzswj-vol30iss3id496
;Journalarticle;10.1016/j.ijdrr.2021.102163
;Journalarticle;10.1016/j.ijdrr.2020.101930
;Journalarticle;10.1007/s10113-017-1260-z
;Journalarticle;10.1111/j.1467-7717.2010.01154.x
;Conferencepaper;10.1111/risa.13686
;Journalarticle;10.1016/j.geoforum.2017.09.005
;Journalarticle;10.1111/disa.12161
;Journalarticle;10.1108/DPM-08-2019-0237
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000223
;Journalarticle;10.1111/disa.12163
;Book;10.5812/ircmj.25050
;Journalarticle;10.1080/01944363.2021.1938637
;Journalarticle;10.1111/disa.12454
;Journalarticle;10.1007/s11069-014-1361-7
;Journalarticle;10.1108/09653561211234525
;Conferencepaper;10.1080/08870446.2017.1283039
;Booksection;10.4067/S0718-34022013000100011
;Journalarticle;10.4067/S0718-50492020000100239
;Booksection;10.7764/psykhe.23.2.641
;Booksection;10.4067/S0718-83582017000300113
;Journalarticle;10.4067/S0718-34022014000300010
;Journalarticle;10.4067/S0718-83582015000100003
;Journalarticle;10.4067/S0718-34022016000200007
;Journalarticle;10.4067/S0718-34022020000300133
;Journalarticle;10.4067/S0250-71612013000200002
;Book;10.22320/07183607.2020.23.41.07
;Journalarticle;10.4067/S0718-48082010000200005
;Journalarticle;10.4067/S0718-22442015000300007
;Journalarticle;10.4067/S0718-83582020000100155
;Booksection;10.36097/rsan.v1i35.1037
;Journalarticle;10.4067/S0718-83582018000100125
;Conferencepaper;10.4067/S0718-83582013000100005
;Conferencepaper;10.4067/S0250-71612012000200011
;Journalarticle;10.24201/edu.v35i2.1852
;Conferencepaper;10.4067/S0718-22442015000300011
;Journalarticle;
;Journalarticle;10.34096/runa.v41i2.8788
;Journalarticle;10.1016/j.ijdrr.2013.02.004
;Journalarticle;10.1080/1177083X.2015.1066400
;Journalarticle;10.1080/21650993.2011.9756108
;Journalarticle;10.1057/s41287-021-00460-7
;Journalarticle;10.1016/j.ijdrr.2021.102555
;Booksection;10.1111/1745-5871.12451
;Journalarticle;10.1007/s11069-015-2060-8
;Journalarticle;10.1016/j.ijdrr.2020.101788
;Journalarticle;10.1016/j.annals.2019.102802
;Journalarticle;10.1080/17477891.2018.1511404
;Journalarticle;10.1016/j.ijdrr.2019.101167
;Conferencepaper;10.1515/jhsem-2013-0002
;Journalarticle;10.1080/17477891.2011.635186
;Conferencepaper;10.1016/j.jaridenv.2016.12.010
;Journalarticle;10.1111/disa.12051
;Booksection;10.1080/0312407X.2021.1874029
;Book;10.3390/ijerph16030299
;Journalarticle;10.1177/1464993418824192
;Journalarticle;10.1080/10511482.2013.862839
;Journalarticle;10.1016/j.ijdrr.2021.102242
;Journalarticle;10.1016/j.ijdrr.2014.01.001
;Journalarticle;10.1016/j.ijdrr.2019.101328
;Conferencepaper;10.1016/j.ijdrr.2021.102342
;Conferencepaper;10.1080/15325024.2013.877771
;Journalarticle;10.20965/jdr.2015.p0196
;Journalarticle;10.1016/j.ijdrr.2013.03.001
;Journalarticle;10.1017/prp.2016.2
;Journalarticle;10.1016/j.ijdrr.2018.11.019
;Journalarticle;10.1111/disa.12259
;Journalarticle;10.1080/1041794X.2015.1111407
;Journalarticle;10.1111/risa.13652
;Journalarticle;10.1111/disa.12413
;Journalarticle;10.3389/fpubh.2021.682558
;Journalarticle;10.1016/j.ijdrr.2021.102280
;Journalarticle;10.1080/01944363.2014.986497
;Journalarticle;10.1111/disa.12268
;Journalarticle;10.1016/j.ijdrr.2020.101998
;Journalarticle;10.1016/j.techfore.2016.12.010
;Journalarticle;10.1080/08941921003681055
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000156
;Journalarticle;10.1016/j.ijdrr.2021.102274
;Journalarticle;10.17141/iconos.66.2020.3987
;Journalarticle;10.1080/14767430.2019.1605667
;Journalarticle;10.1016/j.asieco.2017.10.001
;Journalarticle;10.1016/j.religion.2009.12.002
;Booksection;10.1016/j.proeng.2018.01.070
;Journalarticle;10.3390/su10124483
;Journalarticle;10.1080/14330237.2015.1065051
;Journalarticle;10.1002/rhc3.12187
;Journalarticle;10.1007/s11069-017-3163-1
;Journalarticle;10.3390/su10061717
;Journalarticle;10.2112/SI85-035.1
;Journalarticle;10.1016/j.ijdrr.2020.101766
;Journalarticle;10.1016/j.healthplace.2019.03.007
;Journalarticle;10.1007/s11205-013-0354-3
;Conferencepaper;10.1111/disa.12201
;Journalarticle;10.1016/j.jhtm.2016.04.005
;Journalarticle;10.1108/IJDRBE-06-2019-0033
;Journalarticle;10.1016/j.jclepro.2021.127882
;Journalarticle;10.1007/s13753-021-00373-3
;Journalarticle;10.1016/j.ijdrr.2017.05.004
;Journalarticle;
;Journalarticle;10.1007/s10464-011-9427-0
;Journalarticle;10.1080/09614524.2015.1020764
;Journalarticle;10.1016/j.marpol.2017.08.029
;Journalarticle;10.1007/s10901-012-9266-9
;Book;10.1016/j.ijdrr.2019.101239
;Journalarticle;10.1002/sea2.12100
;Journalarticle;10.1177/0002764215591183
;Journalarticle;10.1177/0920203X17736508
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000332
;Journalarticle;10.5771/0943-7444-2019-2-77
;Journalarticle;10.1007/s11069-017-3103-0
;Journalarticle;10.1016/S2212-5671(14)00979-4
;Journalarticle;10.1108/DPM-02-2018-0036
;Journalarticle;10.1016/j.ijdrr.2016.02.004
;Journalarticle;10.1016/j.ijdrr.2014.12.006
;Journalarticle;10.1016/j.ienj.2015.11.009
;Journalarticle;10.1016/j.ijdrr.2021.102453
;Journalarticle;10.1111/disa.12387
;Journalarticle;10.3109/00048674.2010.513674
;Journalarticle;10.1007/s11069-021-04832-4
;Book;10.1016/j.ijdrr.2017.01.009
;Journalarticle;10.1016/j.dib.2020.106040
;Journalarticle;10.3727/108354221X16079839951420
;Booksection;10.1016/j.ijdrr.2020.101867
;Journalarticle;10.1002/da.20790
;Journalarticle;10.1016/j.telpol.2015.03.006
;Conferencepaper;
;Journalarticle;10.1007/s11111-015-0250-7
;Journalarticle;10.1016/j.geoforum.2019.08.007
;Journalarticle;10.1016/j.ijdrr.2021.102446
;Booksection;10.1016/j.ijdrr.2021.102601
;Journalarticle;10.1001/dmp.2010.7
;Journalarticle;10.1108/DPM-02-2019-0051
;Journalarticle;10.1111/ijsw.12029
;Journalarticle;10.1080/17477891.2019.1690969
;Journalarticle;10.5751/ES-09909-230129
;Book;10.1016/j.tele.2015.12.001
;Journalarticle;10.1007/s13753-018-0166-9
;Journalarticle;10.1093/bjsw/bcv122
;Conferencepaper;10.1061/(ASCE)NH.1527-6996.0000308
;Journalarticle;10.1080/00045608.2014.960039
;Journalarticle;10.1177/0002764215591181
;Journalarticle;10.1108/09653561311301998
;Journalarticle;10.1007/s11069-015-1797-4
;Journalarticle;10.3390/buildings6020014
;Book;10.1111/j.1467-8624.2010.01465.x
;Journalarticle;10.1016/j.ijdrr.2018.10.006
;Journalarticle;10.1108/09653561011091887
;Journalarticle;10.1177/0002764215591179
;Journalarticle;10.1016/j.ijdrr.2018.07.022
;Journalarticle;10.1525/cmr.2014.56.2.5
;Journalarticle;
;Journalarticle;10.1002/nml.21389
;Journalarticle;10.1007/s11069-016-2486-7
;Journalarticle;
;Journalarticle;10.1080/1523908X.2019.1623660
;Journalarticle;
;Journalarticle;10.1111/j.1468-5973.2011.00642.x
;Conferencepaper;10.1061/(ASCE)NH.1527-6996.0000421
;Journalarticle;10.1080/09523367.2017.1301432
;Booksection;10.1515/jhsem-2018-0054
;Journalarticle;10.1001/dmp.2010.10060910
;Journalarticle;10.1136/jramc-2018-001138
;Journalarticle;10.1193/022413EQS050M
;Journalarticle;10.1111/ssqu.12658
;Journalarticle;10.1177/2332649217702659
;Journalarticle;10.1080/13574809.2015.1133231
;Journalarticle;10.1111/acfi.12575
;Journalarticle;10.1016/j.cpa.2013.01.003
;Conferencepaper;10.1177/2056305115603386
;Journalarticle;10.1111/padm.12191
;Conferencepaper;10.1017/dmp.2016.23
;Journalarticle;10.1193/021513EQS029M
;Journalarticle;10.1606/1044-3894.4134
;Journalarticle;10.1061/(ASCE)IS.1943-555X.0000427
;Journalarticle;10.1017/dmp.2016.200
;Journalarticle;10.1177/1363461520920348
;Conferencepaper;10.1016/j.ijdrr.2017.03.014
;Journalarticle;10.1016/j.worlddev.2018.05.028
;Journalarticle;10.1007/s10584-021-03069-1
;Journalarticle;10.1007/s11625-020-00854-2
;Journalarticle;10.1016/j.ijdrr.2019.101249
;Journalarticle;10.1016/j.ufug.2018.07.005
;Journalarticle;10.1016/j.ssci.2021.105443
;Journalarticle;10.1177/0143034311402923
;Journalarticle;10.1057/s41289-016-0018-4
;Journalarticle;10.1080/14719037.2020.1775282
;Journalarticle;10.1080/17477891.2019.1665982
;Journalarticle;10.1680/cien.12.00019
;Booksection;10.1016/j.jtrangeo.2013.07.005
;Journalarticle;10.1016/j.proeng.2017.07.108
;Conferencepaper;10.1016/j.ijdrr.2019.101244
;Journalarticle;10.1111/tran.12240
;Journalarticle;10.1080/00909882.2020.1797142
;Conferencepaper;10.1016/j.ijdrr.2015.04.004
;Journalarticle;10.1080/19460171.2020.1842221
;Journalarticle;10.1097/PHH.0000000000000841
;Journalarticle;10.1017/dmp.2016.92
;Journalarticle;10.1136/bmjopen-2019-030250
;Conferencepaper;10.1016/j.gloenvcha.2015.09.020
;Conferencepaper;10.1111/j.1467-8381.2012.02084.x
;Journalarticle;10.1108/DPM-02-2021-0027
;Journalarticle;10.1002/jtr.2454
;Journalarticle;10.4269/ajtmh.16-0862
;Journalarticle;10.1007/s11069-016-2373-2
;Journalarticle;10.1193/1.3633342
;Journalarticle;10.1080/01488376.2012.754196
;Journalarticle;10.1016/S2212-5671(14)00999-X
;Journalarticle;10.1111/1468-5973.12244
;Journalarticle;10.1177/1354816618825014
;Booksection;10.5041/RMMJ.10354
;Journalarticle;10.1017/S1744137417000054
;Journalarticle;
;Journalarticle;10.1016/j.ijdrr.2021.102488
;Journalarticle;10.1080/13683500.2021.1952940
;Journalarticle;10.1080/01490400.2014.935836
;Journalarticle;10.1016/j.ijedudev.2014.06.008
;Journalarticle;10.1016/j.ijdrr.2015.01.005
;Journalarticle;10.1193/032513EQS078M
;Journalarticle;10.1111/ruso.12305
;Journalarticle;10.1007/s11138-016-0362-z
;Journalarticle;10.1080/17477891.2018.1485547
;Journalarticle;10.1108/DPM-01-2018-0032
;Journalarticle;10.1080/13683500.2019.1711029
;Journalarticle;10.2105/AJPH.2013.301668
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000387
;Journalarticle;10.1515/jhsem-2020-0075
;Booksection;10.1080/00472336.2013.767030
;Conferencepaper;10.1080/17477891.2015.1080655
;Journalarticle;10.1186/1471-2458-13-1036
;Journalarticle;10.1080/19378629.2014.964250
;Journalarticle;10.1016/j.proeng.2018.01.106
;Journalarticle;10.1016/j.wdp.2020.100210
;Conferencepaper;10.1016/j.ijdrr.2019.01.001
;Journalarticle;10.1007/s11069-019-03591-7
;Journalarticle;10.1016/j.ijdrr.2019.101424
;Journalarticle;
;Journalarticle;10.1016/j.ijdrr.2016.03.010
;Journalarticle;10.1016/j.psychres.2020.113348
;Journalarticle;
;Journalarticle;10.1080/14719037.2013.769855
;Booksection;10.1080/17441692.2015.1094111
;Journalarticle;10.3390/cli9010004
;Journalarticle;10.1016/j.ecolecon.2020.106759
;Journalarticle;10.1080/13537903.2015.1025538
;Journalarticle;10.1016/j.ijdrr.2020.101809
;Conferencepaper;10.3390/su10061924
;Journalarticle;10.1016/j.socscimed.2011.10.004
;Journalarticle;10.1080/15732479.2021.1961826
;Journalarticle;10.1111/disa.12080
;Journalarticle;10.3389/fsufs.2021.662918
;Journalarticle;10.1016/j.jdmm.2020.100510
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000225
;Journalarticle;10.3390/su12187718
;Journalarticle;10.1111/disa.12115
;Journalarticle;10.1007/s11069-011-0071-7
;Journalarticle;10.1080/13683500.2019.1666809
;Journalarticle;
;Booksection;10.1111/j.1365-2443.2011.01531.x
;Journalarticle;10.1080/12259276.2015.1062277
;Journalarticle;10.1007/978-3-319-92498-4_13
;Journalarticle;10.1108/IJDRBE-05-2019-0021
;Journalarticle;10.1061/(ASCE)AE.1943-5568.0000386
;Journalarticle;10.26913/80s02017.0111.0008
;Journalarticle;10.1177/0095399712471491
;Journalarticle;10.1016/j.ufug.2018.12.002
;Journalarticle;10.1017/dmp.2014.19
;Journalarticle;10.1193/060312EQS205M
;Conferencepaper;
;Journalarticle;10.1080/02508281.2021.1881707
;Journalarticle;10.1186/s40064-016-3642-y
;Journalarticle;10.1002/jcop.21590
;Journalarticle;10.1177/1524839921996083
;Journalarticle;10.1007/s13753-019-0221-1
;Book;10.1177/0899764010362115
;Journalarticle;10.1111/j.1540-6210.2010.02194.x
;Journalarticle;10.1111/disa.12104
;Book;
;Journalarticle;10.1016/j.ijdrr.2020.101478
;Book;10.1080/0966369X.2012.709828
;Journalarticle;10.1093/cdj/bss052
;Journalarticle;10.1111/disa.12388
;Journalarticle;10.1111/disa.12405
;Journalarticle;10.1080/10511482.2013.840666
;Journalarticle;10.1016/j.ijdrr.2014.12.010
;Journalarticle;10.1111/j.1468-2958.2010.01371.x
;Journalarticle;10.3390/su10082913
;Journalarticle;10.1080/14672715.2017.1407662
;Journalarticle;10.1097/PHH.0000000000000545
;Journalarticle;10.13128/RV-22010
;Journalarticle;10.1111/apv.12268
;Journalarticle;10.1108/WHATT-01-2021-0018
;Journalarticle;10.1080/17477891.2016.1142417
;Booksection;10.1016/j.ijdrr.2021.102112
;Journalarticle;10.5367/sear.2012.0099
;Journalarticle;10.1016/j.jeem.2018.06.007
;Journalarticle;10.1007/s10113-020-01613-w
;Journalarticle;10.1371/journal.pone.0121033
;Journalarticle;10.1111/cico.12048
;Journalarticle;10.1017/S153759271200165X
;Journalarticle;10.4067/S0718-22442015000300004
;Journalarticle;10.1016/j.jenvman.2020.110457
;Journalarticle;10.1016/j.worlddev.2019.01.003
;Journalarticle;10.1016/j.envsci.2017.06.012
;Journalarticle;10.1016/j.ijdrr.2018.10.017
;Journalarticle;10.1108/DPM-07-2016-0137
;Journalarticle;10.1080/10705422.2019.1649776
;Journalarticle;10.1093/ajae/aax069
;Journalarticle;10.3390/ijerph17061985
;Journalarticle;
;Journalarticle;10.1108/IJDRBE-05-2015-0030
;Journalarticle;10.1080/15325024.2018.1423873
;Journalarticle;10.1016/j.apnu.2017.07.009
;Journalarticle;10.1177/0192513X11412497
;Journalarticle;10.1080/13683500.2019.1607832
;Journalarticle;10.1108/AAAJ-12-2019-4323
;Journalarticle;10.1186/s12913-019-4765-y
;Journalarticle;10.1111/disa.12044
;Journalarticle;10.1080/13683500.2016.1157141
;Book;10.1016/j.ijdrr.2013.03.008
;Journalarticle;10.1016/j.ijdrr.2019.101070
;Journalarticle;10.1007/s11150-011-9124-7
;Book;10.1111/isj.12114
;Journalarticle;10.1108/JPMD-03-2017-0025
;Book;10.1111/1468-2427.12141
;Journalarticle;10.1007/s13753-016-0109-2
;Conferencepaper;
;Journalarticle;10.1080/10911359.2018.1556143
;Conferencepaper;10.1080/10511482.2011.624529
;Journalarticle;10.1080/01944363.2013.882125
;Book;10.1016/j.ijdrr.2020.101556
;Journalarticle;10.1016/j.jrurstud.2019.12.010
;Journalarticle;10.1016/j.ijdrr.2017.12.003
;Journalarticle;10.1108/DPM-07-2016-0130
;Journalarticle;10.11157/anzswj-vol31iss1id557
;Journalarticle;10.17645/pag.v8i4.3179
;Journalarticle;10.1371/journal.pone.0231736
;Journalarticle;10.1016/j.proeng.2018.01.134
;Conferencepaper;10.1177/0269094217734326
;Journalarticle;10.7596/taksad.v6i1.745
;Journalarticle;10.1016/j.ijdrr.2017.04.016
;Conferencepaper;10.3846/ijspm.2010.24
;Journalarticle;10.1002/sd.2013
;Journalarticle;10.1007/978-3-319-92498-4_9
;Journalarticle;10.1080/14672715.2017.1407663
;Journalarticle;
;Journalarticle;10.1111/j.1467-7717.2011.01240.x
;Journalarticle;10.1007/s11069-019-03789-9
;Journalarticle;10.1080/17477891.2011.597839
;Journalarticle;10.1016/S2212-5671(14)01000-4
;Booksection;10.1016/j.ijdrr.2019.101307
;Conferencepaper;10.1111/dpr.12512
;Journalarticle;10.1163/156853111X597314
;Journalarticle;10.1016/S2212-5671(15)00182-3
;Journalarticle;10.1177/0956247814565577
;Journalarticle;10.1080/17477891.2012.689249
;Journalarticle;10.1007/s11069-018-3539-x
;Journalarticle;10.1108/DPM-12-2015-0292
;Journalarticle;10.1111/disa.12041
;Journalarticle;10.1007/s11069-021-05027-7
;Journalarticle;10.1016/j.ijproman.2017.02.013
;Journalarticle;10.1080/02673037.2015.1006184
;Journalarticle;10.1111/j.1467-7717.2012.01296.x
;Journalarticle;10.1007/s13753-012-0006-2
;Journalarticle;10.1007/s11069-011-9842-4
;Booksection;10.1080/17477891.2011.594493
;Journalarticle;10.1002/jid.3367
;Journalarticle;
;Conferencepaper;10.1080/09614524.2015.1072132
;Journalarticle;10.1088/1755-1315/273/1/012037
;Journalarticle;10.1016/j.sbspro.2015.02.424
;Journalarticle;
;Journalarticle;10.1108/09653561211202674
;Journalarticle;
;Journalarticle;10.1007/s11069-016-2630-4
;Conferencepaper;10.1080/19475705.2018.1480535
;Journalarticle;10.1007/s11069-011-0003-6
;Journalarticle;10.1007/s11069-012-0488-7
;Journalarticle;10.4028/www.scientific.net/AMM.209-211.1668
;Journalarticle;
;Book;10.1016/j.ijproman.2017.02.002
;Journalarticle;10.1177/0020872817746224
;Journalarticle;10.3390/su13147629
;Conferencepaper;10.1177/0739456X16683514
;Journalarticle;10.1680/jmuen.16.00011
;Journalarticle;10.1016/j.ijdrr.2021.102120
;Journalarticle;10.1007/s11629-011-2103-x
;Booksection;10.3974/j.issn.2095-0055.2010.02.003
;Journalarticle;10.3390/geosciences10080316
;Book;10.1177/0042098018787967
;Journalarticle;10.1007/s11069-016-2573-9
;Journalarticle;10.1002/2475-8876.12230
;Journalarticle;10.1177/0959683616638438
;Journalarticle;10.1080/17477891.2017.1351914
;Journalarticle;10.1108/BEPAM-03-2021-0040
;Journalarticle;10.1016/j.ijdrr.2020.102017
;Booksection;10.1016/j.ijdrr.2020.101650
;Journalarticle;
;Journalarticle;10.1061/(ASCE)ME.1943-5479.0000833
;Journalarticle;10.20965/jdr.2016.p0780
;Journalarticle;10.1108/IJDRBE-07-2014-0057
;Journalarticle;10.1016/j.ijdrr.2020.101968
;Booksection;10.1016/j.landusepol.2020.104932
;Journalarticle;10.4028/www.scientific.net/AMR.368-373.573
;Journalarticle;10.1016/j.proeng.2018.01.053
;Journalarticle;10.3390/su12208720
;Journalarticle;10.3390/su13094955
;Journalarticle;10.1680/jcien.16.00015
;Journalarticle;10.3390/socsci10070254
;Journalarticle;10.1177/0020872815583073
;Journalarticle;10.1108/DPM-10-2013-0178
;Journalarticle;10.1063/1.4960895
;Journalarticle;10.1080/17477891.2015.1042959
;Journalarticle;10.1016/j.habitatint.2015.05.027
;Journalarticle;
;Journalarticle;10.1038/s41893-017-0002-z
;Journalarticle;
;Journalarticle;10.1016/j.ijdrr.2016.08.020
;Conferencepaper;10.1111/disa.12172
;Journalarticle;10.1142/S0578563416400106
;Journalarticle;10.1108/09653561311325316
;Journalarticle;
;Journalarticle;10.1039/d1ew00263e
;Journalarticle;
;Journalarticle;10.1155/2020/9173659
;Journalarticle;10.1108/IJDRBE-10-2019-0070
;Book;10.6092/2281-4574/5060
;Journalarticle;10.1108/OHI-01-2021-0018
;Journalarticle;10.5194/nhess-20-1163-2020
;Journalarticle;10.1016/j.proeng.2018.01.038
;Journalarticle;10.1016/j.ssci.2020.104626
;Journalarticle;10.1108/IJDRBE-08-2016-0034
;Booksection;10.5509/2011843495
;Journalarticle;10.1177/0094582X16648955
;Journalarticle;10.20507/AlterNative.2016.12.1.6
;Journalarticle;10.1080/02723638.2020.1780054
;Conferencepaper;10.1016/j.ijdrr.2017.11.012
;Journalarticle;10.1093/cdj/bsr023
;Journalarticle;10.1163/15685314-04306005
;Journalarticle;
;Journalarticle;10.3390/su10093225
;Conferencepaper;10.17730/humo.70.2.d4356255x771r663
;Journalarticle;10.1080/01944363.2014.968188
;Booksection;10.1007/s11069-020-04287-z
;Booksection;10.1177/1476750319884105
;Conferencepaper;10.1080/0967828X.2021.1966318
;Journalarticle;10.1098/rsta.2014.0373
;Journalarticle;10.20965/jdr.2020.p0845
;Journalarticle;10.1111/disa.12105
;Book;10.1061/(ASCE)NH.1527-6996.0000120
;Journalarticle;10.1016/j.ijdrr.2021.102444
;Journalarticle;10.1108/ECAM-03-2014-0044
;Journalarticle;
;Journalarticle;10.1080/14616718.2016.1219648
;Journalarticle;10.1016/j.worlddev.2019.02.005
;Journalarticle;10.1007/s11442-020-1786-8
;Journalarticle;10.1111/j.1467-7717.2009.01130.x
;Journalarticle;
;Journalarticle;10.3390/geosciences9010026
;Journalarticle;10.1142/S0578563416400076
;Journalarticle;10.1007/s11069-015-1914-4
;Journalarticle;10.1080/01944363.2021.1929417
;Journalarticle;10.1016/j.ijdrr.2020.101960
;Journalarticle;10.1088/1757-899X/352/1/012063
;Booksection;10.3390/su12114538
;Journalarticle;10.1016/j.ijdrr.2017.06.027
;Journalarticle;
;Journalarticle;10.1117/12.2279001
;Journalarticle;
;Journalarticle;10.1080/0312407X.2018.1487460
;Journalarticle;10.1016/j.apgeog.2020.102306
;Journalarticle;10.3828/idpr.2015.14
;Journalarticle;10.1016/j.ijdrr.2018.04.017
;Journalarticle;10.3390/su10062046
;Journalarticle;10.1016/j.ijdrr.2021.102052
;Journalarticle;10.1016/j.ijdrr.2020.101643
;Journalarticle;10.1007/s11069-010-9577-7
;Journalarticle;10.1016/j.sbspro.2012.03.007
;Journalarticle;10.1016/j.geoforum.2021.07.008
;Conferencepaper;10.1193/1.4000119
;Booksection;10.1111/disa.12423
;Journalarticle;10.1016/j.ijdrr.2020.101689
;Journalarticle;10.1080/14781158.2015.1030380
;Journalarticle;10.1177/21582440211033573
;Conferencepaper;10.1063/1.5011593
;Conferencepaper;
;Book;10.1063/1.5005476
;Journalarticle;10.1193/1.4000025
;Journalarticle;10.4067/S0718-22442015000300011
;Journalarticle;10.3390/su13063133
;Journalarticle;10.1016/j.ijdrr.2015.07.013
;Journalarticle;10.1007/s11069-014-1413-z
;Journalarticle;10.3390/su10061842
;Journalarticle;
;Journalarticle;10.1080/01944363.2014.988167
;Booksection;10.1108/IJCMA-06-2016-0051
;Journalarticle;10.1016/j.ijdrr.2016.04.015
;Journalarticle;10.1016/j.ijdrr.2021.102356
;Conferencepaper;10.1108/PM-04-2018-0031
;Journalarticle;10.3390/su10030651
;Journalarticle;10.1108/IJDRBE-09-2018-0037
;Journalarticle;10.1080/01944360903294556
;Journalarticle;10.1016/j.ijdrr.2020.101786
;Book;10.1111/disa.12431
;Journalarticle;10.1016/j.ijdrr.2018.12.006
;Journalarticle;10.1016/j.ijproman.2016.09.005
;Booksection;10.1177/1468797620939413
;Journalarticle;10.1111/disa.12190
;Journalarticle;10.3390/su11174811
;Journalarticle;10.1080/09640568.2017.1282346
;Journalarticle;10.1177/1010539520935386
;Journalarticle;10.1108/DPM-09-2019-0307
;Journalarticle;10.1111/ropr.12297
;Journalarticle;10.1108/TR-03-2021-0113
